105,105 - Kasabe Sukene ,"Zilla Parishad Marathi Boys School, Second West side Building, Room No.1 from South, Kasabe Sukene ","20°05'38.7""N 74°00'36.8""E"
106,106 - Kasabe Sukene ,"Zilla Parishad Marathi Boys School, Second West side Building, Room No.2 from South, Kasabe Sukene ","20°05'38.7""N 74°00'36.8""E"
107,107 - Kasabe Sukene ,"Zilla Parishad Primary School, North Building Room No.1 from East, Kasabe Sukene ","20°05'34.7""N 74°00'32.8""E"
108,108 - Kasabe Sukene ,"Zilla Parishad Primary School, Beghar Vasti, Kasabe Sukene,East side North-South Building, Room No.4 From North, Kasabe Sukene ","20°05'34.7""N 74°00'32.8""E"
109,109 - Kasabe Sukene ,"Zilla Parishad Primary School, Beghar Vasti, Kasabe Sukene, West-East Building, Room No.1 From East Side, Kasabe Sukene ","20°05'34.7""N 74°00'32.8""E"
110,110 - Thergaon ,"Zilla Parishad Primary School, (Old Building), , Room No.2 from West, Thergaon ","
20°04'52.5""N 73°59'18.1""E"
111,111 - Jiwhale ,"Zilla Parishad Primary School, Room No.1 from West, Jiwhale ","20°05'05.0""N 73°58'48.7""E"
112,112 - Dixi ,"Zilla Parishad Primary School, South side Old Building) Room No.1 from East, Dixi ","20°05'19.9""N 73°57'53.3""E"
113,113 - Dixi ,"Zilla Parishad Primary School, West Side New Building Room No.2 from North, Dixi ","20°05'19.9""N 73°57'53.3""E"
114,114 - Ozar ,"Zilla Parishad Urdu Primary School, Ozar New Building Room No.1 From East Side, Ozar ","20°05'33.5""N 73°55'36.4""E"
115,115 - Ozar ,"Zilla Parishad Urdu Primary School, Ozar New Building Room No.2 From East Side, Ozar ","20°05'33.5""N 73°55'36.4""E"
116,116 - Ozar ,"K.Madhavrao Boraste Vidyalaya & Abhinav Vidhyamandir, West Side Building, Room No.3 from North, Ozar ","20°05'29.6""N 73°55'19.7""E"
117,117 - Ozar ,"Zilla Parishad Primary School, Bhadake Vasti, Room No.1 From South,Ozar ","20°06'02.2""N 73°56'08.3""E"
118,118 - Ozar ,"K.Madhavrao Boraste Vidyalaya & Abhinav Vidhyamandir, South Side Building, Room No.3 from West, Ozar ","20°05'29.6""N 73°55'19.7""E"
119,119 - Ozar ,"K.Madhavrao Boraste Vidyalaya & Abhinav Vidhyamandir, South Side Building, Room No.1 from East, Ozar ","20°05'29.6""N 73°55'19.7""E"
120,120 - Ozar ,"Zilla Parishad Primary School, Shejvalwadi East West Building, Room No.1 From West Side ,Ozar ","20°06'02.2""N 73°56'08.3""E"
121,121 - Ozar ,"Zilla Parishad Primary School, Shejvalwadi East West Building,Room No.3 From West, Ozar ","20°06'02.2""N 73°56'08.3""E"
122,122 - Ozar ,"K.Madhavrao Boraste Vidyalaya & Abhinav Vidhyamandir, East Side Building, Room No.2 from South, Ozar ","20°05'29.6""N 73°55'19.7""E"
123,123 - Ozar ,"K.Madhavrao Boraste Vidyalaya & Abhinav Vidhyamandir, East Side Building, Room No.5 from North, Ozar ","20°05'29.6""N 73°55'19.7""E"
124,124 - Ozar ,"K.Madhavrao Boraste Vidyalaya & Abhinav Vidhyamandir, East Side Building, Room No.4 from North, Ozar ","20°05'29.6""N 73°55'19.7""E"
125,125 - OzarOzar ,"K.Madhavrao Boraste Vidyalaya & Abhinav Vidhyamandir, South Side Building, Room No.1 from West, Ozar Nashik, India","20°05'29.6""N 73°55'19.7""E"
126,126 - Ozar ,"Zilla Parishad Primary School Girls No.1 & 2, Centrol Building, Room No.1 From North Side, Ozar ","20°05'36.9""N 73°54'10.5""E"
127,127 - Ozar ,"Zilla Parishad Primary School Girls No.1 & 2, Bajarpeth, West Side Building, Room No.1 From South, Ozar ","20°05'36.9""N 73°54'10.5""E"
128,128 - Ozar ,"Zilla Parishad Primary School Girls No.1 & 2, Bajarpeth, East Side Building, Room No.3 From North, Ozar ","20°05'36.9""N 73°54'10.5""E"
129,129 - Ozar ,"Zilla Parishad Primary School Girls No.1 & 2, Bajarpeth, East Side Building, Room No.5 From North, Ozar ","20°05'36.9""N 73°54'10.5""E"
130,130 - Ozar ,"Zilla Parishad Primary School Girls No.1 & 2, Bajarpeth, East Side Building, Room No.1 From North, Ozar ","20°05'36.9""N 73°54'10.5""E"
131,131 - Ozar ,"Zilla Parishad Primary School Girls No.1 & 2, Bajarpeth west Side Building, Room No.1 From North,Ozar ","20°05'36.9""N 73°54'10.5""E"
132,132 - Ozar ,"Zilla Parishad Primary School Girls No.1 & 2, Bajarpeth, West Side Building, Room No.2 From North, Ozar ","20°05'36.9""N 73°54'10.5""E"
133,133 - Ozar ,"New English School, West Side Building, Room No.2, from North, Ozar ","20°05'26.0""N 73°55'13.0""E"
134,134 - Ozar ,"New English School, Ozar North Side Building, Room No.2 From West Side, Ozar ","20°05'26.0""N 73°55'13.0""E"
135,135 - Ozar ,"New English School, Ozar North Side Building, Room No.3 From West Side, Ozar ","20°05'26.0""N 73°55'13.0""E"
136,136 - Ozar ,"New English School, East Side Building, Room No.1 from South, Ozar ","20°05'26.0""N 73°55'13.0""E"
137,137 - Ozar ,"New English School, Ozar South Side Building, Room No.3 Form West, Ozar ","20°05'26.0""N 73°55'13.0""E"
138,138 - Ozar (Banganganagar) ,"Zilla parishad Primary School, west Side Building, Room No.1, from North,  Ozar, Banganganagar ","20°04'39.2""N 73°57'52.0""E"
139,139 - Ozar ,"New English School Ozar, East Side Building, Room No.1 From North,  Ozar ","20°05'29.9""N 73°55'28.2""E"
140,140 - Ozar ,"New English School Ozar, South Side Building, Room No.2 From East,  Ozar ","20°05'29.9""N 73°55'28.2""E"
141,141 - Ozar ,"New English School Ozar, South Side Building, Room No.4 From East Side,  Ozar ","20°05'29.9""N 73°55'28.2""E"
142,142 - Ozar ,"New English School Ozar, East Side Building, Room No.3 From North Side,  Ozar ","20°05'29.9""N 73°55'28.2""E"
143,143 - Ozar Township ,"Zilla Parishad Primary School, Ozar Township East Side Centrol Building Room No.2 from East, Ozar Township ","20°05'46.0""N 73°55'40.3""E"
144,144 - Ozar Township ,"Gokhale Edu.Society, H.A.L. Highshcool, (Marathi Medium) East side Centrol Building, Room No.2 from East, OzarTownship ","20°06'09.2""N 73°55'43.7""E"
145,145 - Ozar Township ,"Gokhale Edu.Society, H.A.L. Highshcool, (Marathi Medium) West side Building, Room No.2 from East, OzarTownship ","20°06'09.2""N 73°55'43.7""E"
146,146 - Ozar Township ,"Zilla Parishad Primary School, Ozar Township No.2, West side Centrol Building, Room No.2 from West OzarTownship ","20°05'46.0""N 73°55'40.3""E"
147,147 - Ozar Township ,"Gokhale Edu. Edu.Society, H.A.L. Highshcool, (English Medium) West Side Building, Room No.1 from West, OzarTownship ","20°06'09.2""N 73°55'43.7""E"
148,148 - Ozar Township ,"Gokhale Edu.Society, H.A.L. Highshcool, (English Medium) North Side Building, Room No.2 from East, OzarTownship ","20°06'01.7""N 73°55'41.7""E"
149,149 - Ozar Township ,"Gokhale Edu. Edu.Society, H.A.L. Highshcool, (English Medium) North Side Building, Room No.2 from West, OzarTownship ","20°06'01.7""N 73°55'41.7""E"
150,150 - Ozar Township ,"Gokhale Edu. Edu.Society, H.A.L. Highshcool, (Marathi Medium) South Side Building, Room No.2 from East OzarTownship ","20°06'01.7""N 73°55'41.7""E"
151,151 - Ozar Township ,"Gokhale Edu. Edu.Society, H.A.L. Highshcool, (Marathi Medium) South Side Building, Room No.2 from West Ozar Township ","20°06'01.7""N 73°55'41.7""E"
152,152 - Ozar Township ,"Gokhale Edu. Edu.Society, H.A.L. Highshcool, & Jr. College (English Medium) East Side Building, Room No.1 from North Ozar Township ","20°06'05.7""N 73°55'45.7""E"
153,153 - Ozar Township ,"Gokhale Edu.Society, H.A.L. Highshcool, & Jr. College (English Medium) East Side Building No.2, Room No.1 from North Ozar Township ","20°06'05.7""N 73°55'45.7""E"
154,154 - Ozar Township ,"Gokhale Edu.Society, H.A.L.High School Jr. College (English Medium) East Side Building No2, Room No.2 From South Ozar Township ","20°06'05.7""N 73°55'45.7""E"
155,155 - Datyane ,"Zilla Parishad Primary School Room No.1, from East, Dattyane ","20°04'09.8""N 73°58'48.3""E"
156,156 - Datyane ,"Zilla Parishad Primary School Room No.2, from East, Dattyane ","20°04'09.8""N 73°58'48.3""E"
157,157 - Oney,"Zilla Parishad Primary School, Room No.1 From West Side, One ","20°04'36.7""N 73°59'44.5""E"
158,158 - Oney,"Zilla Parishad Primary School, Room No.5 From West Side, One ","20°04'36.7""N 73°59'44.5""E"
159,159 - Mauje Sukene ,"Zilla Parishad Primary School, South Side Building, Room No.2, from East, Mauje Sukene ","20°04'18.7""N 74°00'46.2""E"
160,160 - Mauje Sukene ,"Zilla Parishad Primary School, South Side Building, Room No.4, from East, Mauje Sukene ","20°04'18.7""N 74°00'46.2""E"
161,161 - Mauje Sukene ,"Zilla Parishad Primary School, West Side Building, Room No.3, from North, Mauje Sukene ","20°04'18.7""N 74°00'46.2""E"
162,162 - Pimplas ,"Zilla Parishad Primary School, East Side Building, No.2 Room No.2, from South, Pimplas ","20°04'05.0""N 74°02'30.0""E"
163,163 - Pimplas ,"Zilla Parishad Primary School, South Side Building No.2, Room No.4, from West, Pimplas ","20°04'05.0""N 74°02'30.0""E"
164,164 - Pimplas ,"Zilla Parishad Primary School, West Side Building No.3, Room No.3 from South Pimpals ","20°04'05.0""N 74°02'30.0""E"
165,165 - Pimplas (S.F.) ,"Zilla Parishad Primary School, South-North Side Building ,Room No.4 from South, Pimplas Sugar Factory ","20°04'09.0""N 74°02'34.0""E"
166,166 - Pimplas (S.F.) ,"Zilla Parishad Primary School, South-North Side Building ,Room No.5 from South, Pimplas Sugar Factory ","20°04'09.0""N 74°02'34.0""E"
167,167 - Pimplas (S.F.) ,"Zilla Parishad Primary School, South-North Side Building ,Room No.1 from North, Pimplas Sugar Factory ","20°04'09.0""N 74°02'34.0""E"
168,168 - Rasalpur ,"Zilla Parishad Primary Marathi School, Room No.2 from South, Rasalpur ","20°04'38.7""N 74°05'40.9""E"
169,169 - Niphad ,"Zilla Parishad Primary School No.1, Near Old Gov. Hospital, East-West Building, Room No.1 From East, Niphad ","20°04'50.8""N 74°06'25.4""E"
170,170 - Niphad ,"Zilla Parishad Primary School No.1, Near Old Gov. Hospital, East-West Building, Room No.4 From East, Niphad ","20°04'50.8""N 74°06'25.4""E"
171,171 - Niphad ,"Zilla Parishad Primary School No.1, Near Old Gov. Hospital,.South-North Building Room No.2 From South, Niphad ","20°04'50.8""N 74°06'25.4""E"
172,172 - Niphad ,"Zilla Parishad Primary School No.1,Near Old Gov. Hospital,South-North Building Room No.4 From South, Niphad ","20°04'50.8""N 74°06'25.4""E"
173,173 - Niphad ,"Vainteya Vidyalaya & Junior College, South -North Building Room No.3 From North, Niphad ","20°04'34.2""N 74°06'24.7""E"
174,174 - Niphad ,"Vainteya Vidyalaya & Junior Collage, South-north building, Room No.5 From North Side, Niphad ","20°04'34.2""N 74°06'24.7""E"
175,175 - Niphad ,"Vainaty Vidyalay & Jr.College, South-North Building Room No. 7 from North, Niphad ","20°04'34.2""N 74°06'24.7""E"
176,176 - Niphad ,"Vainteya Vidyalaya & Jr.College, South-North Building, Room No.8 from North, Niphad ","20°04'34.2""N 74°06'24.7""E"
177,177 - Niphad ,"Vainteya Vidyalaya & Jr.College/ Vainteya Pri.vidyamandir, South-North Building, Room No.1 from North, Niphad ","20°04'34.2""N 74°06'24.7""E"
178,178 - Niphad ,"Vainteya Vidyalaya & Jr.College/ Vainteya Pri.vidyamandir, South-North Building, Room No.4 from North, Niphad ,Nashik, India","20°04'34.2""N 74°06'24.7""E"
179,179 - Niphad ,"Niphad English School, East West ""L"" Building, Room No.2 from East, Niphad ","20°04'38.0""N 74°06'34.2""E"
